epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.03,0.72599,0.80158,1.303,0.92212,0.89185,0.92178,0.71598,0.86444,0.68004,1.46824,0.000407986,0.000407986,0.000407986
2,396.649,0.78535,0.88989,1.33764,0.84827,0.8507,0.88452,0.67968,0.86069,0.90402,1.49877,0.000797439,0.000797439,0.000797439
3,593.91,0.81632,0.91921,1.35492,0.85585,0.82192,0.88669,0.65699,0.92502,0.89518,1.55661,0.00115939,0.00115939,0.00115939
4,791.732,0.85537,0.97451,1.39403,0.84005,0.82622,0.90811,0.65525,0.96885,0.87003,1.59699,0.00112625,0.00112625,0.00112625
5,991.425,0.86391,0.99783,1.38987,0.8539,0.86167,0.89679,0.56717,1.2204,0.86955,1.89851,0.001085,0.001085,0.001085
6,1193.11,0.84046,0.96869,1.38187,0.88133,0.83017,0.90304,0.62173,0.97871,0.85262,1.70455,0.00104375,0.00104375,0.00104375
7,1404.46,0.89339,1.04345,1.44274,0.88607,0.86731,0.9311,0.69237,0.94721,0.76629,1.55228,0.0010025,0.0010025,0.0010025
8,1616.02,0.8781,0.99022,1.40739,0.82151,0.8015,0.85925,0.60587,1.08478,0.88461,1.7521,0.00096125,0.00096125,0.00096125
9,1827.77,0.89775,1.01995,1.43322,0.8362,0.81608,0.91219,0.65743,0.99993,0.87348,1.60454,0.00092,0.00092,0.00092
10,2039.64,0.8569,0.97066,1.38777,0.91864,0.8224,0.90368,0.6064,1.1222,0.79933,1.78909,0.00087875,0.00087875,0.00087875
11,2250.18,0.85551,0.99646,1.39638,0.90156,0.81036,0.93464,0.67931,0.99036,0.79877,1.6033,0.0008375,0.0008375,0.0008375
12,2459.8,0.82976,0.94741,1.37915,0.91835,0.86368,0.92071,0.66503,0.98827,0.7397,1.66218,0.00079625,0.00079625,0.00079625
13,2670.65,0.8224,0.9438,1.37285,0.88248,0.89944,0.92051,0.69495,0.84702,0.7358,1.47873,0.000755,0.000755,0.000755
14,2882.08,0.8097,0.92616,1.36266,0.89391,0.88099,0.9393,0.71638,0.88162,0.70175,1.47186,0.00071375,0.00071375,0.00071375
15,3091.11,0.8113,0.89034,1.36432,0.83249,0.88686,0.93147,0.6999,0.86309,0.72856,1.47309,0.0006725,0.0006725,0.0006725
16,3302.44,0.79984,0.8969,1.3497,0.88908,0.84228,0.92382,0.69378,0.91702,0.69472,1.52623,0.00063125,0.00063125,0.00063125
17,3515.69,0.78559,0.8836,1.34788,0.86092,0.91866,0.94345,0.72275,0.9002,0.66089,1.50541,0.00059,0.00059,0.00059
18,3725.15,0.78865,0.90059,1.35165,0.92691,0.85329,0.93869,0.72998,0.81375,0.65815,1.44116,0.00054875,0.00054875,0.00054875
19,3935.67,0.79748,0.88315,1.35636,0.93438,0.88956,0.93848,0.74013,0.8238,0.62412,1.439,0.0005075,0.0005075,0.0005075
20,4145.46,0.75694,0.82713,1.30976,0.9504,0.8862,0.94416,0.73708,0.8395,0.58249,1.48344,0.00046625,0.00046625,0.00046625
21,4348.81,0.52686,0.55195,1.24723,0.91588,0.9126,0.93039,0.7295,0.80266,0.64928,1.4425,0.000425,0.000425,0.000425
22,4554.48,0.4876,0.44839,1.20942,0.9104,0.92148,0.94312,0.73534,0.83821,0.62202,1.44645,0.00038375,0.00038375,0.00038375
23,4759.12,0.48795,0.41675,1.19842,0.9146,0.91719,0.94482,0.74255,0.80029,0.62287,1.44241,0.0003425,0.0003425,0.0003425
24,4964.18,0.46382,0.40728,1.18353,0.94764,0.90951,0.94108,0.75019,0.75807,0.61187,1.3753,0.00030125,0.00030125,0.00030125
25,5166.85,0.4475,0.37945,1.17667,0.94703,0.9282,0.93952,0.76271,0.72405,0.55892,1.34236,0.00026,0.00026,0.00026
26,5372.01,0.45017,0.3596,1.15133,0.94897,0.92069,0.9445,0.74335,0.78647,0.57659,1.42036,0.00021875,0.00021875,0.00021875
27,5579.66,0.4407,0.35503,1.16108,0.96329,0.90605,0.94465,0.75131,0.75703,0.56689,1.39175,0.0001775,0.0001775,0.0001775
28,5783.59,0.42936,0.34759,1.15406,0.93391,0.93844,0.94359,0.75861,0.7757,0.57854,1.39575,0.00013625,0.00013625,0.00013625
29,5990.64,0.43587,0.34238,1.14661,0.9447,0.93151,0.93585,0.75551,0.76793,0.57646,1.3965,9.5e-05,9.5e-05,9.5e-05
30,6184.9,0.41764,0.32507,1.13088,0.95407,0.92594,0.94223,0.75724,0.76138,0.56007,1.39216,5.375e-05,5.375e-05,5.375e-05
