epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.375,0.76177,0.83767,1.28141,0.90727,0.89904,0.93133,0.76219,0.66632,0.61221,1.30973,0.000408951,0.000408951,0.000408951
2,442.235,0.64655,0.80628,1.22724,0.85678,0.89317,0.90514,0.70805,0.73389,0.80213,1.36606,0.000805183,0.000805183,0.000805183
3,663.178,0.69249,0.89369,1.268,0.76039,0.82697,0.88382,0.67307,0.84683,0.96892,1.48714,0.00118079,0.00118079,0.00118079
4,885.37,0.72685,0.96752,1.29302,0.75287,0.85049,0.85687,0.67963,0.79186,0.93595,1.41717,0.00115719,0.00115719,0.00115719
5,1106.41,0.71362,0.93705,1.2895,0.83638,0.87042,0.91344,0.71026,0.77804,0.79243,1.41079,0.00112625,0.00112625,0.00112625
6,1325.12,0.72225,0.96293,1.2949,0.78802,0.78489,0.85612,0.61565,0.96376,1.21119,1.65616,0.00109531,0.00109531,0.00109531
7,1545.33,0.69491,0.89628,1.28628,0.88558,0.90646,0.93153,0.74548,0.72226,0.67074,1.3926,0.00106437,0.00106437,0.00106437
8,1765.07,0.67159,0.88401,1.26453,0.79571,0.81688,0.84196,0.6585,0.77724,0.99904,1.38825,0.00103344,0.00103344,0.00103344
9,1997.6,0.68849,0.90346,1.27161,0.87703,0.87261,0.9223,0.73114,0.7499,0.79885,1.40558,0.0010025,0.0010025,0.0010025
10,2217.49,0.67518,0.92492,1.26999,0.88218,0.8786,0.91469,0.73432,0.74531,0.76445,1.38321,0.000971562,0.000971562,0.000971562
11,2437.77,0.64454,0.86148,1.24262,0.8884,0.85347,0.92219,0.73464,0.79053,0.6952,1.42915,0.000940625,0.000940625,0.000940625
12,2659.21,0.66306,0.88864,1.26725,0.92614,0.89387,0.9365,0.75046,0.75144,0.64559,1.40116,0.000909688,0.000909688,0.000909688
13,2882.31,0.66957,0.87401,1.26699,0.90529,0.82683,0.92637,0.71973,0.744,0.72301,1.37757,0.00087875,0.00087875,0.00087875
14,3105.58,0.63506,0.85822,1.24298,0.89662,0.90794,0.9397,0.7556,0.716,0.60482,1.34894,0.000847813,0.000847813,0.000847813
15,3332.72,0.654,0.84318,1.24992,0.91508,0.82713,0.9302,0.74347,0.70493,0.69464,1.29301,0.000816875,0.000816875,0.000816875
16,3559.03,0.65769,0.85706,1.26117,0.92124,0.83791,0.92761,0.75341,0.72266,0.64901,1.36066,0.000785938,0.000785938,0.000785938
